generation,ge,gi,sparsity,thalamic_ex,thalamic_in,ex_firing_error_norm,inhib_firing_error_norm,psd_peak_error_norm
1,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,4.253377896841646,0.08920759379153251,0.471478171984425
1,1.28265633827875,1.7052656769613135,0.6743528144834272,2.6009744773722323,8.398815210314087,0.9998958681018155,1.297620538587162,1.3879841497376475
1,0.30104966084235496,0.9644247763986731,0.9157726897569389,4.227169069454373,5.895020620840481,0.33592811258847693,0.4664163018411318,2.9371542349108815
1,1.1730366536510628,1.6793692072178847,0.7811788882498965,3.650072635085589,4.483963093444842,0.6605768503965183,0.10086526697183018,1.7907866055279704
2,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,4.253377896841646,0.08920759379153251,0.471478171984425
2,0.30104966084235496,0.9644247763986731,0.9157726897569389,4.227169069454373,5.895020620840481,0.33592811258847693,0.4664163018411318,2.9371542349108815
2,1.1730366536510628,1.6793692072178847,0.7811788882498965,3.650072635085589,4.483963093444842,0.6605768503965183,0.10086526697183018,1.7907866055279704
2,0.26124172944749946,1.9257291568864556,0.6573577143687376,1.8607156030806937,5.292228076303601,0.9999999995,0.09786483556288826,0.7389181280616683
2,1.1730366536510628,1.3417528782154913,0.9356585275657037,2.947081670576733,4.270090150597135,0.9748574067872091,0.23466437688889463,0.5515886148098328
2,0.23972307465814802,0.5039575340261659,0.33160581317928106,3.7514699649664185,3.1673816655696427,0.061209661962859624,0.3824393333860261,4.776600953162618
3,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,4.253377896841646,0.08920759379153251,0.471478171984425
3,1.1730366536510628,1.6793692072178847,0.7811788882498965,3.650072635085589,4.483963093444842,0.6605768503965183,0.10086526697183018,1.7907866055279704
3,0.26124172944749946,1.9257291568864556,0.6573577143687376,1.8607156030806937,5.292228076303601,0.9999999995,0.09786483556288826,0.7389181280616683
3,1.1730366536510628,1.3417528782154913,0.9356585275657037,2.947081670576733,4.270090150597135,0.9748574067872091,0.23466437688889463,0.5515886148098328
3,0.23972307465814802,0.5039575340261659,0.33160581317928106,3.7514699649664185,3.1673816655696427,0.061209661962859624,0.3824393333860261,4.776600953162618
3,1.0164871914087463,1.9401988874518277,0.9157726897569389,4.3678304734768485,5.906482963646379,0.39901551191280343,0.28136798448384237,2.3278208693503997
3,1.2587343889271636,1.6951103781430619,0.4260642815776496,5.0944797503221,9.580257062509391,0.428393363440561,2.349269417451133,1.7825309721122857
3,1.1730366536510628,1.3401936150474827,0.9356585275657037,1.3772565377562578,5.001279557702205,0.9999999995,0.025647855658289205,1.8046467798075418
3,0.30974093700254013,0.8263177438278405,0.9196933527458301,3.6725557807713445,1.2099493297554704,0.08965196918026969,0.9084987042743976,3.7711017399116256
4,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,4.253377896841646,0.08920759379153251,0.471478171984425
4,0.26124172944749946,1.9257291568864556,0.6573577143687376,1.8607156030806937,5.292228076303601,0.9999999995,0.09786483556288826,0.7389181280616683
4,1.1730366536510628,1.3417528782154913,0.9356585275657037,2.947081670576733,4.270090150597135,0.9748574067872091,0.23466437688889463,0.5515886148098328
4,0.23972307465814802,0.5039575340261659,0.33160581317928106,3.7514699649664185,3.1673816655696427,0.061209661962859624,0.3824393333860261,4.776600953162618
4,1.0164871914087463,1.9401988874518277,0.9157726897569389,4.3678304734768485,5.906482963646379,0.39901551191280343,0.28136798448384237,2.3278208693503997
4,0.36078456459360053,0.9644247763986731,0.9157726897569389,4.239745115433667,5.860042984997093,0.29551084594126714,0.4672321814844009,2.9381967258260095
4,0.30974093700254013,0.8263177438278405,0.9134241783347385,3.6725557807713445,1.083205346554958,0.11026737887794351,0.9269915777636838,3.3646507990499055
4,1.0878993722533827,1.5848440631122025,0.7655468820684981,3.7895041446736126,4.489999543251494,0.476875324002387,0.04973078564804741,1.3114718194702222
4,0.8997542251533639,0.5039575340261659,0.33160581317928106,3.8073414621985058,2.6243208836524223,0.40371812168531135,0.46261904431781675,1.6747885438330625
