generation,n_evals,ex_error,inhib_error,psd_peak_error,ge,gi,sparsity,thalamic_ex,thalamic_in,flops,psd_peak_freq,ex_error_raw,inhib_error_raw,psd_peak_error_raw_isum,rmse_ex_n,rmse_in_n,rmse_psd_n,rmse_l2,rmse_mean,rmse_max,rmse_l2_smooth
1,45,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,21.913300937450302,10.651152984340866,10.438310846747827,10.956650463246826,1.0651152983275751,0.20876621693078123,11.010278984014434,4.076843992835061,10.956650463246826,11.010278984014434
2,90,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,2.0,4.919723008378283,205.94952860672765,0.9999999995,0.4919723007886311,4.118990572052174,4.267097383045992,1.8703209574469348,4.118990572052174,7.638688183530213
3,135,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,1.6750058302137338,16.940736160706436,111.86440825094161,0.8375029146881154,1.6940736159012362,2.2372881649740863,2.928609718166095,1.5896215651878125,2.2372881649740863,6.06866202840884
4,180,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,1.9979174541621667,4.799064850311986,44.89687257111198,0.9989587265816039,0.4799064849832079,0.8979374514042808,1.4263661656029607,0.7922675543230309,0.9989587265816039,2.8740244222716824
5,225,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,1.994377187139718,12.793177401288286,63.67479223889676,0.9971885930712646,1.2793177400008968,1.2734958447524654,2.0622392287594193,1.1833340592748756,1.2793177400008968,2.139071704176158
6,270,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,0.20519577478491927,9.046805375379753,148.87144902006338,0.10259788734116068,0.9046805374475072,2.977428980341719,3.113527988360135,1.328235801710129,2.977428980341719,2.2007111275741718
7,315,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,2.0,5.088406706671549,90.84155161598683,0.9999999995,0.5088406706162708,1.8168310322834,2.1353673751701794,1.1085572341332235,1.8168310322834,2.437044864096578
8,360,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,2.0,3.870313698526258,178.1835430111322,0.9999999995,0.38703136981392267,3.5636708601513707,3.72149745125696,1.6502340764884311,3.5636708601513707,2.990130938262425
9,405,4.253377896841646,0.08920759379153251,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,85.47739534562115,107.93791530271388,179.0277562279101,42.73869765144122,10.793791529192008,3.5805551244865907,44.225813587953944,19.03768143503994,42.73869765144122,16.69422613812703
10,450,0.05234647067426336,0.38908680475748464,2.524727708040024,0.3090250375213371,0.5687298646592434,0.33160581317928106,3.7514699649664185,3.1404803261380794,29813000,276.25,1.5346358188033298,0.2478291161936656,135.39025383436334,0.7673179090180059,0.024782911616888267,2.707805076633111,2.8145335846722497,1.1666352990893352,2.707805076633111,16.920614874627717
11,495,0.030935921661443492,0.999250265724408,1.3212367942942098,0.3862088881620945,1.5759639614109122,0.7654153394583347,3.576582490696617,0.045177109777005287,28657000,5.0,0.9342722212146379,2.7391994344455215,44.73416852176123,0.4671361103737509,0.27391994341716014,0.8946833704173309,1.0458042906385938,0.5452464747360807,0.8946833704173309,16.028717154421596
12,540,3.816267651665307,0.19366516958184665,0.5002499375212255,0.8466528979451513,1.6720013322774205,0.5214014112581327,5.22443108355651,0.27559113243068367,37112000,27.5,1.9542807830263926,1.7869783621148485,28.28611261143296,0.9771403910246261,0.17869783619361507,0.5657222522173447,1.1431438785585586,0.5738534931451954,0.9771403910246261,1.6678272512898007
13,585,0.6447074882088631,0.02671658738544111,1.4607218534847712,0.23969638758197567,1.6547641079699011,0.6371490729218783,3.7768661266127377,4.853228617550736,29634000,73.75,0.23435520749761465,9.888805091912438,74.89228375918755,0.11717760369021853,0.9888805090923558,1.497845675153794,1.7986541965164577,0.8679679293121229,1.497845675153794,1.3292007885712034
14,630,0.9795898487769572,0.04486699092425735,0.651824362833275,0.30449885694381806,1.907157124065627,0.6612450530008104,2.9601749710635854,4.872332028118177,28986000,88.75,1.9990629722265087,2.283429324320476,25.292044203662147,0.9995314856134886,0.22834293240921333,0.5058408840631262,1.143275419793372,0.577905100695276,0.9995314856134886,1.3616911649561294
