pre_norm,sep_norm,psd_norm,composite
0.049833887043190805,0.2917707292707292,0.48833333333333334,0.5710367932116556
0.049833887043190805,0.2917707292707292,0.48833333333333334,0.5710367932116556
0.09966777408637828,0.8872377622377623,0.36000000000000004,0.9626653166765724
0.049833887043190805,0.2917707292707292,0.48833333333333334,0.5710367932116556
0.09966777408637828,0.8872377622377623,0.36000000000000004,0.9626653166765724
0.39036544850498234,0.0,0.5933333333333334,0.7102320943402519
0.049833887043190805,0.2917707292707292,0.48833333333333334,0.5710367932116556
0.09966777408637828,0.8872377622377623,0.36000000000000004,0.9626653166765724
0.39036544850498234,0.0,0.5933333333333334,0.7102320943402519
0.049833887043190805,0.2917707292707292,0.48833333333333334,0.5710367932116556
0.09966777408637828,0.8872377622377623,0.36000000000000004,0.9626653166765724
0.39036544850498234,0.0,0.5933333333333334,0.7102320943402519
0.012458471760797285,0.8973526473526473,0.38999999999999996,0.9785177500839825
0.22009966777408518,0.1581543456543455,0.5883333333333333,0.6477598103577652
0.15780730897010042,0.7153471528471529,0.39166666666666666,0.8306789233083325
0.020764119601329734,0.36806943056943076,0.6183333333333334,0.7198905232697779
0.585548172757473,0.21703296703296704,0.6083333333333333,0.8718023949515123
0.049833887043190805,0.2917707292707292,0.48833333333333334,0.5710367932116556
0.09966777408637828,0.8872377622377623,0.36000000000000004,0.9626653166765724
0.39036544850498234,0.0,0.5933333333333334,0.7102320943402519
0.012458471760797285,0.8973526473526473,0.38999999999999996,0.9785177500839825
0.22009966777408518,0.1581543456543455,0.5883333333333333,0.6477598103577652
0.15780730897010042,0.7153471528471529,0.39166666666666666,0.8306789233083325
0.020764119601329734,0.36806943056943076,0.6183333333333334,0.7198905232697779
0.6935215946843865,0.0,0.505,0.8579027930328554
0.2450166112956803,0.8229895104895105,0.30666666666666664,0.9118055267605187
0.2699335548172771,0.3912962037962039,0.4266666666666667,0.6387654401782056
0.21594684385382035,0.5680569430569431,0.3866666666666667,0.7203005213358773
0.24086378737541547,0.3976023976023977,0.49166666666666664,0.6766381172821374
0.585548172757473,0.21703296703296704,0.6083333333333333,0.8718023949515123
1.4078073089700993,0.0,0.5716666666666667,1.5194486490064119
0.049833887043190805,0.2917707292707292,0.48833333333333334,0.5710367932116556
0.09966777408637828,0.8872377622377623,0.36000000000000004,0.9626653166765724
0.39036544850498234,0.0,0.5933333333333334,0.7102320943402519
0.012458471760797285,0.8973526473526473,0.38999999999999996,0.9785177500839825
0.22009966777408518,0.1581543456543455,0.5883333333333333,0.6477598103577652
0.15780730897010042,0.7153471528471529,0.39166666666666666,0.8306789233083325
0.020764119601329734,0.36806943056943076,0.6183333333333334,0.7198905232697779
0.2450166112956803,0.8229895104895105,0.30666666666666664,0.9118055267605187
0.2699335548172771,0.3912962037962039,0.4266666666666667,0.6387654401782056
0.21594684385382035,0.5680569430569431,0.3866666666666667,0.7203005213358773
0.8679401993355507,0.0,0.3766666666666667,0.946149019658327
0.33637873754152836,0.4248251748251748,0.41166666666666674,0.6805119607176036
0.2782392026578073,0.6374875124875126,0.35666666666666663,0.7816767193567171
0.6187707641196022,0.4621628371628371,0.34833333333333333,0.8472354204674581
0.07059800664451887,0.8736888111888113,0.36833333333333335,0.9507816057240182
0.6395348837209325,0.0,0.4233333333333333,0.7669523965716892
0.2159468438538209,0.9168956043956044,0.32999999999999996,0.998113514952286
0.11627906976744151,0.4565434565434565,0.4266666666666667,0.6356077361258853
0.24086378737541547,0.3976023976023977,0.49166666666666664,0.6766381172821374
0.585548172757473,0.21703296703296704,0.6083333333333333,0.8718023949515123
0.38621262458471695,0.8900474525474525,0.34500000000000003,1.0297425208151916
0.6935215946843865,0.0,0.505,0.8579027930328554
1.4078073089700993,0.0,0.5716666666666667,1.5194486490064119
0.39036544850498234,0.0,0.5933333333333334,0.7102320943402519
0.012458471760797285,0.8973526473526473,0.38999999999999996,0.9785177500839825
0.2450166112956803,0.8229895104895105,0.30666666666666664,0.9118055267605187
