generation,ge,gi,sparsity,firing_rate_error_norm,psd_peak_error_norm
1,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
2,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
3,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
4,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
5,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
6,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
7,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
8,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
9,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
10,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
11,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
12,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
13,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
14,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
15,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
16,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
17,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
18,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
19,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
20,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
21,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
22,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
23,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
24,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
25,0.812163503194416,0.994076389772654,0.9961474399602477,2.4523809251322755,0.09474692481474602
