generation,n_evals,firing_error,psd_peak_error,ge,gi,sparsity,flops,psd_peak_freq,firing_rate_raw,psd_peak_error_raw_isum,rmse_firing_rates_n,rmse_psd_n,rmse_l2,rmse_mean,rmse_max,rmse_l2_smooth
1,50,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22130952380952382,0.018475650433622398,2.458994681672546,0.09474692481474602,2.4608193400279745,1.276870803243646,2.458994681672546,2.4608193400279745
2,100,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22130952380952382,0.018475650433622398,2.458994681672546,0.09474692481474602,2.4608193400279745,1.276870803243646,2.458994681672546,2.4608193400279745
3,150,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.4586163935831666
4,200,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.4564134471383583
5,250,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
6,300,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.2219047619047619,0.018475650433622398,2.4656084382128163,0.09474692481474602,2.467428205713004,1.280177681513781,2.4656084382128163,2.458616402366701
7,350,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.4586164023667014
8,400,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.4586164023667014
9,450,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
10,500,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
11,550,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
12,600,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
