generation,n_evals,ex_error,inhib_error,psd_peak_error,ge,gi,sparsity,thalamic_ex,thalamic_in,flops,psd_peak_freq,ex_error_raw,inhib_error_raw,psd_peak_error_raw_isum,rmse_ex_n,rmse_in_n,rmse_psd_n,rmse_l2,rmse_mean,rmse_max,rmse_l2_smooth
1,45,4.253377896841646,3.7802931793933277,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,21.913300937450302,18.649764785715128,10.438310846747827,10.956650463246826,9.324882388195123,0.20876621693078123,14.389065440839792,6.830099689457576,10.956650463246826,14.389065440839792
2,90,4.253377896841646,3.7802931793933277,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,2.0,1.7968338763410119,223.0755664193937,0.9999999995,0.8984169377212974,4.461511328298644,4.659639076744211,2.119976088506647,4.461511328298644,9.524352258792002
3,135,4.253377896841646,3.7802931793933277,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,7.382904794396647,3.6410606856610706,80.32680644301337,3.6914523953525973,1.82053034192027,1.6065361288281368,4.418383171052151,2.372839622033668,3.6914523953525973,7.822362562878719
4,180,0.9995834902341822,1.17194360851673,2.0062818013693042,1.2840329073230723,1.7134799448808598,0.6713301691990861,2.132566980241501,3.078432060571091,27905000,277.5,1.9613626697108868,3.966176002566368,187.00601594601176,0.9806813343651027,1.9830880002916398,3.740120318845433,4.345442888350194,2.234629884500725,3.740120318845433,4.4744883787155185
5,225,3.6914523953525973,1.82053034192027,1.6065361288281368,0.12648167002862612,1.6509756267871116,0.9316495815647813,6.597041563197025,3.2614731176645684,35832000,67.5,2.0,8.255914546553884,178.81525615375588,0.9999999995,4.127957271212963,3.576305123003592,5.552475985070237,2.901420797905518,4.127957271212963,4.772100681490861
6,270,0.14878112630832077,3.0751393076374365,1.3478686879393447,0.16310523472702543,1.7086075551993456,0.7651686057641794,4.235588251321802,4.383888151014231,29994000,66.25,6.313409033660189,9.439556895056038,43.757142274147654,3.156704515251742,4.71977844516813,0.8751428454654503,5.745169011269711,2.917208601961774,4.71977844516813,5.214362628230048
7,315,0.14878112630832077,3.0751393076374365,1.3478686879393447,0.16310523472702543,1.7086075551993456,0.7651686057641794,4.235588251321802,4.383888151014231,29994000,66.25,6.901632824522849,5.268410180816726,18.537686838797697,3.4508164105360164,2.6342050890912603,0.3707537367685389,4.357135375903164,2.1519250787986053,3.4508164105360164,5.218260124081038
8,360,3.829607842269033,0.9472145975936239,0.8247221754260401,0.12648167002862612,1.6509756267871116,0.9316495815647813,6.513035785057228,2.5512969815060624,35729000,51.25,6.619324084423986,6.3983911145042285,35.778543383802905,3.309662040557162,3.1991955556525165,0.7155708676617467,4.658407098210502,2.408142821290475,3.309662040557162,4.920237161794459
9,405,0.1255631843554626,0.45349410231667814,3.6063601224521524,0.15300555857786569,1.6777682251463044,0.7898837658414504,3.8553164166272205,1.5348689341931345,29001000,37.5,1.3721274445029998,1.134824004343111,194.16031820808973,0.686063721908468,0.5674120018878495,3.883206364084131,3.9839592714369925,1.712227362626816,3.883206364084131,4.333167248516886
10,450,0.9999999995,0.517499748130883,1.6055632448552815,0.12645662757059883,1.6509756267871116,0.9325906553774261,0.39621487171392333,2.6581158040047166,27634000,57.5,2.0,1.0423468612542883,111.8476456316061,0.9999999995,0.5211734303665574,2.236952912587383,2.5051107912931156,1.2527087808179802,2.236952912587383,3.715825720313537
11,495,0.9999999995,0.517499748130883,1.6055632448552815,0.12645662757059883,1.6509756267871116,0.9325906553774261,0.39621487171392333,2.6581158040047166,27634000,57.5,0.05929682353423328,0.18330728981685374,182.18322965264028,0.029648411752292433,0.09165364486260004,3.6436645929799325,3.644937734045899,1.254988883198275,3.6436645929799325,3.378002598925336
12,540,0.9999999995,0.517499748130883,1.6055632448552815,0.12645662757059883,1.6509756267871116,0.9325906553774261,0.39621487171392333,2.6581158040047166,27634000,57.5,0.3805338218651968,2.3413226319041693,82.77919927936809,0.19026691083746494,1.170661315366754,1.6555839855542502,2.036567638424893,1.0055040705861564,1.6555839855542502,2.728872054587969
13,585,0.9192041549361811,0.8847165119454612,0.23655513803571251,0.14464040001591538,1.601412797179719,0.9237230221942634,3.029514067543037,2.9621632549582335,27916000,66.25,0.08147205234005095,4.955327257524639,94.10875800547649,0.04073602614965746,2.477663627523488,1.8821751600718863,3.111761528165509,1.466858271248344,2.477663627523488,2.9310889668787667
14,630,0.03423265982695656,2.5082932743119306,2.160979716042365,0.16300973165995858,1.483462391434968,0.8552618751829537,4.235588251321802,3.9845007372558605,29968000,270.0,1.7065439211892313,0.49617285294542257,141.52664648986305,0.8532719601679796,0.24808642634866807,2.8305329297406505,2.966738373920685,1.3106304387524326,2.8305329297406505,2.705022513503696
15,675,0.03423265982695656,2.5082932743119306,2.160979716042365,0.16300973165995858,1.483462391434968,0.8552618751829537,4.235588251321802,3.9845007372558605,29968000,270.0,0.10781853847823822,0.5278099405404689,183.31183586082668,0.05390926921216447,0.26390497013828196,3.666236717143209,3.676118021595565,1.3280169854978852,3.666236717143209,3.25153930789392
16,720,3.8279187000103208,0.9567196554292628,0.12877629181130354,0.12558927449620122,1.6509756267871116,0.9316495815647813,6.513035785057228,2.5512969815060624,35728000,65.0,0.0822455039297995,4.857302009603686,57.659199901952626,0.04112275194433837,2.4286510035875173,1.1531839980159888,2.6888417787653984,1.2076525845159483,2.4286510035875173,3.1105660580938825
17,765,3.8279187000103208,0.9567196554292628,0.12877629181130354,0.12558927449620122,1.6509756267871116,0.9316495815647813,6.513035785057228,2.5512969815060624,35728000,65.0,0.06602556323122126,0.18386759275812217,198.30243106595205,0.033012781599104236,0.09193379633309419,3.9660486212397204,3.967251357387708,1.3636650663906396,3.9660486212397204,3.4440703859162234
18,810,0.03225720605863863,2.5174091745276503,1.6338732100624838,0.16310523472702543,1.4860757529266615,0.8552618751829537,4.235588251321802,3.9845007372558605,29947000,500.0,0.12599280216709471,1.9251325711926093,15.692354826475215,0.06299640105204915,0.9625662851150214,0.3138470965232274,1.0143975550945021,0.4464699275634327,0.9625662851150214,2.556830230415869
19,855,0.3215303953656855,0.0849708895805692,1.6886385047978565,0.14467539007692887,1.673718182597516,0.8604677008447218,4.063975997550646,1.9893828927293635,29459000,43.75,0.6575171298465665,6.474372556472171,235.44439364741731,0.32875856475890397,3.2371862766174924,4.708887872854169,5.723729744016223,2.7582775714101886,4.708887872854169,3.568459552166144
20,900,0.9999999995,0.08376710020238497,2.4653431133259223,0.9024353311664794,1.676343792014811,0.9238147945569566,1.784918807728166,2.1651721527582435,27442000,52.5,8.633949934494302,1.0018056614600126,103.7715841002086,4.316974965088663,0.5009028304795549,2.0754316819626637,4.816076531916729,2.2977698258436274,4.316974965088663,3.8514012770091512
21,945,0.9999999995,0.08376710020238497,2.4653431133259223,0.9024353311664794,1.676343792014811,0.9238147945569566,1.784918807728166,2.1651721527582435,27442000,52.5,0.5591900590455956,1.8973082632596456,59.201280954609985,0.2795950293830003,0.9486541311554957,1.1840256190685192,1.542736110818911,0.8040915932023385,1.1840256190685192,4.0275141289172876
22,990,0.9999999995,0.08376710020238497,2.4653431133259223,0.9024353311664794,1.676343792014811,0.9238147945569566,1.784918807728166,2.1651721527582435,27442000,52.5,0.13058362582396515,1.895893314069474,97.51388789979268,0.06529181287933666,0.9479466565607636,1.9502777579568482,2.1694352301221143,0.9878387424656495,1.9502777579568482,2.8427492909525847
23,1035,0.020221148739919252,0.19524457142315862,3.540721442422697,0.12061647488802413,1.5632893089948003,0.8050114326806802,3.8402988196296706,1.862947880944874,28957000,43.75,0.12672250688019077,0.17359555485860426,186.08325869531268,0.06336125340841475,0.08679777738590323,3.7216651738318207,3.723216374145512,1.2906080682087129,3.7216651738318207,2.478462571695512
24,1080,4.214806299857841,0.40658559835909275,0.12829003598360633,0.15310618423820016,1.9409776331338064,0.9594905896376578,6.606510169896492,1.8909386596125106,36190000,45.0,5.819252266408818,1.6461927350202141,21.188636891818533,2.909626131749596,0.8230963670985588,0.4237727378278952,3.0533580185456657,1.38549841222535,2.909626131749596,2.9820032076044303
25,1125,0.7001520769267854,0.10030552281208382,1.4992220204415225,0.152635162679611,1.7933529604553051,0.9833137863123983,4.322069232711509,2.0490596440140294,30083000,43.75,1.6215930330522974,0.4714836953702641,190.39460120146964,0.8107965161207504,0.2357418475672611,3.8078920239532352,3.9003854777873737,1.6181434625470823,3.8078920239532352,3.5589866234928507
