generation,n_evals,ex_error,inhib_error,psd_peak_error,ge,gi,sparsity,thalamic_ex,thalamic_in,flops,psd_peak_freq,ex_error_raw,inhib_error_raw,psd_peak_error_raw_isum,rmse_ex_n,rmse_in_n,rmse_psd_n,rmse_l2,rmse_mean,rmse_max,rmse_l2_smooth
1,45,0.05399637694674719,3.7802931793933277,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,13.913941137408207,18.649764785715128,10.438310846747827,1.3913941136016812,9.324882388195123,0.20876621693078123,9.430429071170018,3.6416809062425286,9.324882388195123,9.430429071170018
2,90,0.9320074056509698,3.505378492135904,1.7907866055279704,1.1730366536510628,1.6793692072178847,0.7811788882498965,3.650072635085589,4.483963093444842,29348000,70.0,2.2840408513590744,8.694443568068824,119.32885233672533,0.22840408511306703,4.3472217818608,2.3865770466867753,4.964499536363509,2.3207343045535476,4.3472217818608,7.197464303766763
3,135,0.05399637694674719,3.7802931793933277,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,8.933135015459415,1.340581535814464,251.4810297683174,0.8933135014566101,0.6702907675720865,5.029620595265756,5.152124033570864,2.197741621431484,5.029620595265756,6.515684213701463
4,180,0.23001194132801325,0.8470786958664414,2.9401672287452545,0.4501966177902159,1.6554051876408835,0.32896411432428185,5.359915486509509,0.3570412769518143,33426000,213.75,10.0,1.8210731154093365,219.46620848473842,0.9999999999,0.9105365572494,4.389324169606982,4.592955855196478,2.099953575585461,4.389324169606982,4.903193141710283
5,225,0.05399637694674719,3.7802931793933277,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,10.0,1.6979230572476873,152.76036516932874,0.9999999999,0.8489615281993629,3.0552073033254707,3.324910125470445,1.6347229438082778,3.0552073033254707,4.3566633380792625
6,270,0.05399637694674719,3.7802931793933277,0.471478171984425,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,38279000,28.75,10.0,6.419619382863234,26.94709322604821,0.9999999999,3.209809689826712,0.5389418645101854,3.4048989086354924,1.5829171847456325,3.209809689826712,3.7742549631008053
7,315,0.7272334009728791,2.495550987929431,0.20196946963596998,0.16310523472702543,1.7104201747140366,0.8890267969421348,8.765370964165806,3.0619974432883525,42601000,66.25,2.171836030825455,8.64519299837584,68.10531061035793,0.21718360306082712,4.3225964970266215,1.3621062121799166,4.537327685632196,1.967295437422455,4.3225964970266215,3.755712239912711
8,360,0.8148804541094294,4.423606181284493,0.09725396307068933,0.6070178531990214,1.998051764647875,0.4097174369519916,8.49044521859272,2.644835568578409,44356000,51.25,0.1600755640249837,5.303135128157683,37.0317993981749,0.016007556400897616,2.6515675627530575,0.7406359879486852,2.753108869687293,1.1360703690342133,2.6515675627530575,3.565111821318327
9,405,1.080293391452318,3.2945095170444127,0.18774983355143088,0.6050765002195377,1.993875361382776,0.39586852051187416,8.979905205459456,0.5681931830420754,46376000,41.25,2.5627119449951516,0.24085892309261314,28.87472943596182,0.256271194473888,0.12042946148609183,0.5774945887076866,0.6431781870504966,0.3180650815558888,0.5774945887076866,2.644538247456662
10,450,0.12279017368990489,0.16244790823607838,0.5042320894090637,0.46781125050906963,1.6739525921519607,0.527359309095329,5.495936876730595,0.27553888835546364,34790000,22.5,1.1254317747813503,1.5318247220771268,29.785692874264313,0.11254317746688071,0.7659123606556072,0.595713857473372,0.9768125260177573,0.4913897985319533,0.7659123606556072,1.4576998609185159
11,495,0.12279017368990489,0.16244790823607838,0.5042320894090637,0.46781125050906963,1.6739525921519607,0.527359309095329,5.495936876730595,0.27553888835546364,34790000,22.5,7.753265776969943,0.2712144754003124,152.9167801997762,0.7753265776194617,0.13560723763235258,3.0583356039343577,3.157995771237497,1.3230898063953906,3.0583356039343577,1.5926621614352505
